,text,source,label
0,奥运活动,baidu2011,sensitive
1,安定片,baidu2011,sensitive
2,电子狗,baidu2011,sensitive
3,曝光王,baidu2011,sensitive
4,隐形喷剂,baidu2011,sensitive
5,变声电话,baidu2011,sensitive
6,变声器,baidu2011,sensitive
7,全国二奶,baidu2011,sensitive
8,死亡日志,baidu2011,sensitive
9,色情电视,baidu2011,sensitive
10,十八禁,baidu2011,sensitive
11,办理奖品流程,baidu2011,sensitive
12,领取奖品,baidu2011,sensitive
13,电子地磅,baidu2011,sensitive
14,突破网络封锁,baidu2011,sensitive
15,沈阳老军医,baidu2011,sensitive
16,暴力洗脑,baidu2011,sensitive
17,大纪元新闻,baidu2011,sensitive
18,正法口诀,baidu2011,sensitive
19,双修之法,baidu2011,sensitive
20,三花聚顶,baidu2011,sensitive
21,世间法,baidu2011,sensitive
22,法身,baidu2011,sensitive
23,两手结印,baidu2011,sensitive
24,掌指乾坤,baidu2011,sensitive
25,冲灌,baidu2011,sensitive
26,明思,baidu2011,sensitive
27,黄匪,baidu2011,sensitive
28,退中共,baidu2011,sensitive
29,退团党队,baidu2011,sensitive
30,无慧,baidu2011,sensitive
31,真相冤案,baidu2011,sensitive
32,独立台湾,baidu2011,sensitive
33,中国联邦临时政府,baidu2011,sensitive
34,武装暴动,baidu2011,sensitive
35,围攻政府,baidu2011,sensitive
36,三班仆人派,baidu2011,sensitive
37,流亡政府,baidu2011,sensitive
38,中共媒体,baidu2011,sensitive
39,残害人群罪,baidu2011,sensitive
40,板桥春秋,baidu2011,sensitive
41,反右50周年,baidu2011,sensitive
42,宪政论衡,baidu2011,sensitive
43,毛泽东不为人知的故事,baidu2011,sensitive
44,民联阵,baidu2011,sensitive
45,民运圈子,baidu2011,sensitive
46,《谁是新中国》,baidu2011,sensitive
47,汉源暴动,baidu2011,sensitive
48,谢直凤,baidu2011,sensitive
49,中共苏家屯,baidu2011,sensitive
50,中国的仁义之举,baidu2011,sensitive
51,郑筱萸,baidu2011,sensitive
52,西藏暴乱,baidu2011,sensitive
53,新疆暴乱,baidu2011,sensitive
54,西藏动乱,baidu2011,sensitive
55,新疆动乱,baidu2011,sensitive
56,64反革命,baidu2011,sensitive
57,64英雄,baidu2011,sensitive
58,六四英雄,baidu2011,sensitive
59,反革命罪,baidu2011,sensitive
60,政府违纪,baidu2011,sensitive
61,包围政府,baidu2011,sensitive
62,集体事件,baidu2011,sensitive
63,国会金奖,baidu2011,sensitive
64,激情免费下载,baidu2011,sensitive
65,性爱社区,baidu2011,sensitive
66,奸杀,baidu2011,sensitive
67,露点AND图片,baidu2011,sensitive
68,出售高考试题,baidu2011,sensitive
69,出售中考试题,baidu2011,sensitive
70,制造雷管,baidu2011,sensitive
71,雷管制造方法,baidu2011,sensitive
72,雷管制作,baidu2011,sensitive
73,自制雷管,baidu2011,sensitive
74,爆炸物,baidu2011,sensitive
75,北川地震中死难学生家长的倡议书,baidu2011,sensitive
76,“银都领地”等房地产维权方面的文章,baidu2011,sensitive
77,武县平通中学地震后维权,baidu2011,sensitive
78,地下先烈,baidu2011,sensitive
79,国家软弱,baidu2011,sensitive
80,四小码,baidu2011,sensitive
81,外围赌球,baidu2011,sensitive
82,赌球网站,baidu2011,sensitive
83,港澳博球网,baidu2011,sensitive
84,幸运玩家,baidu2011,sensitive
85,幸运码,baidu2011,sensitive
86,代办证件,baidu2011,sensitive
87,代办移民,baidu2011,sensitive
88,全自动开锁器,baidu2011,sensitive
89,针孔摄象机,baidu2011,sensitive
90,唑仑乙醚,baidu2011,sensitive
91,拍肩醉迷药,baidu2011,sensitive
92,天安门广场血腥清场,baidu2011,sensitive
93,赵紫阳在软禁中的谈话,baidu2011,sensitive
94,十七大权位争霸战,baidu2011,sensitive
95,中共十七大幕前戏,baidu2011,sensitive
96,当代七整,baidu2011,sensitive
97,中国国家领导人的最强阵容,baidu2011,sensitive
98,“蚁力神”事件,baidu2011,sensitive
99,BB枪,baidu2011,sensitive
100,狗粮,baidu2011,sensitive
101,健卫小口径步枪,baidu2011,sensitive
102,温切斯特,baidu2011,sensitive
103,气狙,baidu2011,sensitive
104,双管立式,baidu2011,sensitive
105,双管平式,baidu2011,sensitive
106,鹰牌,baidu2011,sensitive
107,虎头,baidu2011,sensitive
108,手拉1911,baidu2011,sensitive
109,金身气狗,baidu2011,sensitive
110,金属划架气狗,baidu2011,sensitive
111,手拉狙,baidu2011,sensitive
112,枪袋,baidu2011,sensitive
113,G36C弹夹,baidu2011,sensitive
114,手拉M14,baidu2011,sensitive
115,司马手狗,baidu2011,sensitive
116,金身改进版,baidu2011,sensitive
117,仿WE5.1黑龙加长版,baidu2011,sensitive
118,双鹰,baidu2011,sensitive
119,快速加弹器,baidu2011,sensitive
120,教師,baidu2011,sensitive
121,医生,baidu2011,sensitive
122,护士自拍,baidu2011,sensitive
123,夫妻,baidu2011,sensitive
124,流血,baidu2011,sensitive
125,韩国,baidu2011,sensitive
126,招待,baidu2011,sensitive
127,酥胸,baidu2011,sensitive
128,强迫,baidu2011,sensitive
129,三級,baidu2011,sensitive
130,緊縛,baidu2011,sensitive
131,幼幼,baidu2011,sensitive
132,亚热,baidu2011,sensitive
133,近親,baidu2011,sensitive
134,連發,baidu2011,sensitive
135,尿尿,baidu2011,sensitive
136,喷水,baidu2011,sensitive
137,長瀨愛,baidu2011,sensitive
138,川島和津實,baidu2011,sensitive
139,粉嫩的小沟,baidu2011,sensitive
140,小澤園,baidu2011,sensitive
141,飯島愛,baidu2011,sensitive
142,星崎未來,baidu2011,sensitive
143,[朝河蘭]],baidu2011,sensitive
144,夕樹舞子,baidu2011,sensitive
145,大澤惠,baidu2011,sensitive
146,金澤文子,baidu2011,sensitive
147,三浦愛佳,baidu2011,sensitive
148,伊東,baidu2011,sensitive
149,武藤蘭,baidu2011,sensitive
150,叶子楣,baidu2011,sensitive
151,舒淇,baidu2011,sensitive
152,翁虹,baidu2011,sensitive
153,櫻井,baidu2011,sensitive
154,風花,baidu2011,sensitive
155,星野桃,baidu2011,sensitive
156,宝来,baidu2011,sensitive
157,藤井彩,baidu2011,sensitive
158,小森美王,baidu2011,sensitive
159,平井,baidu2011,sensitive
160,桃井望,baidu2011,sensitive
161,榊彩弥,baidu2011,sensitive
162,桜井,baidu2011,sensitive
163,中条美華,baidu2011,sensitive
164,大久保玲,baidu2011,sensitive
165,松下,baidu2011,sensitive
166,青木友梨,baidu2011,sensitive
167,深田涼子,baidu2011,sensitive
168,愛内萌,baidu2011,sensitive
169,姫島瑠璃香,baidu2011,sensitive
170,長瀬愛,baidu2011,sensitive
171,中野千夏,baidu2011,sensitive
172,春菜,baidu2011,sensitive
173,望月,baidu2011,sensitive
174,岡崎美女,baidu2011,sensitive
175,宮下杏奈,baidu2011,sensitive
176,加藤,baidu2011,sensitive
177,日野美沙,baidu2011,sensitive
178,北島優,baidu2011,sensitive
179,蜘蛛,baidu2011,sensitive
180,媽個,baidu2011,sensitive
181,代.考,baidu2011,sensitive
182,上分,baidu2011,sensitive
183,同性,baidu2011,sensitive
184,安乐死,baidu2011,sensitive
185,麻醉,baidu2011,sensitive
186,真木加美,baidu2011,sensitive
187,超爽,baidu2011,sensitive
188,极品,baidu2011,sensitive
189,伦理,baidu2011,sensitive
190,艳星,baidu2011,sensitive
191,女生,baidu2011,sensitive
192,绝色,baidu2011,sensitive
193,喷射,baidu2011,sensitive
194,铃木麻奈美,baidu2011,sensitive
195,束缚,baidu2011,sensitive
196,影片,baidu2011,sensitive
197,菅野亚梨沙,baidu2011,sensitive
198,吉岡美穗,baidu2011,sensitive
199,沙雪,baidu2011,sensitive
200,H动画,baidu2011,sensitive
201,H游戏,baidu2011,sensitive
202,代办职业资格证书,blog,sensitive
203,网站推广,blog,sensitive
204,龙兴,blog,sensitive
205,加密狗,blog,sensitive
206,新开传世私服,blog,sensitive
207,成人用品性用品,blog,sensitive
208,保健品,blog,sensitive
209,蓝猫保健品,blog,sensitive
210,肖虎,blog,sensitive
211,搬家公司,blog,sensitive
212,裸体美女,blog,sensitive
213,泰国圣荷野葛根丰胸,blog,sensitive
214,深圳辦证,blog,sensitive
215,京客网,blog,sensitive
216,征稿启事,blog,sensitive
217,稻城,blog,sensitive
218,离心机,blog,sensitive
219,搬场,blog,sensitive
220,征途私服,blog,sensitive
221,自慰器,blog,sensitive
222,人造阳具,blog,sensitive
223,淫民俱乐部,blog,sensitive
224,dell工作站,blog,sensitive
225,热血,blog,sensitive
226,信息群发,blog,sensitive
227,营销,blog,sensitive
228,《毛：不为人知的故事》,cctv,sensitive
229,001工程,cctv,sensitive
230,2.23会议,cctv,sensitive
231,CHENG中将,cctv,sensitive
232,一党专治,cctv,sensitive
233,一党制,cctv,sensitive
234,一句心语传真情,cctv,sensitive
235,一句话,cctv,sensitive
236,丁家班,cctv,sensitive
237,七种人,cctv,sensitive
238,三峡,cctv,sensitive
239,上街,cctv,sensitive
240,下课,cctv,sensitive
241,主义,cctv,sensitive
242,主持,cctv,sensitive
243,主持人,cctv,sensitive
244,举报,cctv,sensitive
245,二炮,cctv,sensitive
246,五四,cctv,sensitive
247,人事变动,cctv,sensitive
248,人事小组,cctv,sensitive
249,人事调整,cctv,sensitive
250,伍思凯,cctv,sensitive
251,佐藤琢磨,cctv,sensitive
252,何家栋,cctv,sensitive
253,使馆,cctv,sensitive
254,侮辱,cctv,sensitive
255,假货,cctv,sensitive
256,傅先财,cctv,sensitive
257,先审,cctv,sensitive
258,全球华人联欢晚会,cctv,sensitive
259,六•四,cctv,sensitive
260,兰河,cctv,sensitive
261,共和国之辉,cctv,sensitive
262,关贵敏,cctv,sensitive
263,冒起,cctv,sensitive
264,冬日那,cctv,sensitive
265,冯骥,cctv,sensitive
266,分家在十月,cctv,sensitive
267,刘建宏,cctv,sensitive
268,削权,cctv,sensitive
269,加薪,cctv,sensitive
270,卖假,cctv,sensitive
271,卖吗,cctv,sensitive
272,南水北调,cctv,sensitive
273,南露,cctv,sensitive
274,占地,cctv,sensitive
275,占领,cctv,sensitive
276,卫寺狂,cctv,sensitive
277,反曰,cctv,sensitive
278,告同胞书,cctv,sensitive
279,周稚舜,cctv,sensitive
280,周金伙,cctv,sensitive
281,嘴脸,cctv,sensitive
282,四川朱昱,cctv,sensitive
283,团系,cctv,sensitive
284,国旗,cctv,sensitive
285,国美,cctv,sensitive
286,垃圾,cctv,sensitive
287,堵截,cctv,sensitive
288,堵路,cctv,sensitive
289,塞北云中鹤1,cctv,sensitive
290,外逃,cctv,sensitive
291,大小百合,cctv,sensitive
292,大纪元郑重声明,cctv,sensitive
293,天体,cctv,sensitive
294,天鹅绒,cctv,sensitive
295,太*石*村,cctv,sensitive
296,太星中学,cctv,sensitive
297,女婿,cctv,sensitive
298,好处费,cctv,sensitive
299,姜敏,cctv,sensitive
300,婴儿煲汤,cctv,sensitive
301,孙悦,cctv,sensitive
302,季先,cctv,sensitive
303,宋什么,cctv,sensitive
304,宝马案,cctv,sensitive
305,宝马车撞人案,cctv,sensitive
306,密码,cctv,sensitive
307,小油条,cctv,sensitive
308,小胡,cctv,sensitive
309,巴拉圭,cctv,sensitive
310,年轻,cctv,sensitive
311,延昌雅士,cctv,sensitive
312,张佳慧,cctv,sensitive
313,张戎,cctv,sensitive
314,张铁钧,cctv,sensitive
315,张长明,cctv,sensitive
316,戚晓春,cctv,sensitive
317,投票,cctv,sensitive
318,护短,cctv,sensitive
319,插穿,cctv,sensitive
320,政治局会议,cctv,sensitive
321,新年祝福,cctv,sensitive
322,请看广传海外的报导。,cctv,sensitive
323,施丹,cctv,sensitive
324,曰货游行,cctv,sensitive
325,曹思源,cctv,sensitive
326,朱环,cctv,sensitive
327,李红,cctv,sensitive
328,李咏,cctv,sensitive
329,李文娟,cctv,sensitive
330,李晓峰,cctv,sensitive
331,李连玉,cctv,sensitive
332,林程,cctv,sensitive
333,柴璐,cctv,sensitive
334,段喧,cctv,sensitive
335,沙桐,cctv,sensitive
336,波波娃,cctv,sensitive
337,泰石村,cctv,sensitive
338,流产,cctv,sensitive
339,海龙大厦,cctv,sensitive
340,版主,cctv,sensitive
341,牛羊瘟疫,cctv,sensitive
342,物质,cctv,sensitive
343,犬倭,cctv,sensitive
344,王江波,cctv,sensitive
345,王红旗,cctv,sensitive
346,生命起源,cctv,sensitive
347,生者与死者,cctv,sensitive
348,田青,cctv,sensitive
