text,type,source,title,category,label
中国政府觉得有必要改变已经被严重操纵并利于亲北京阵营的选举制度，这有点不可思议。香港的立法会选举只有一半的议员是直接选举产生的，而另一半则是由政治盟友安排，为什么要改变呢？令共产党震惊的是，在（2019年）最近一次区议会选举中，主张民主改革的民主派候选人令对手惨败，在18区中有17区由民主派取得过半议席，民主派大获全胜。现在，选举制度“重建”即将到来。而且会的，因为它已被引入中国橡皮图章式的全国人民代表大会议程中。这意味着香港甚至不会有民主选举的假象。一个由北京控制的选举委员会不但会甄别所有参选人士，而且会直接委任“大部分”立法会议员。任何主张民主变革的候选人几乎不可能当选，而这正是中国高层领导喜欢的方式。,news,BBC,中国两会：美国谴责北京改变香港选举制度“攻击民主体制”,democracy,sensitive
高智晟一个已多年不交党费，不过“组织生活”的党员，从即日起宣布：退出这个无仁、无义、无人性的邪党。这是我人生最自豪的一天。—— 2005年12月13日，大陆律师高智晟公开声明退出中国共产党。中央组织部最新党内统计数据显示，截至2019年底，中国共产党党员总数为9191.4万名。如何控制这九千万党员，并以此推动国家机器的运行，是中国共产党革命成功。并实现其成功统治的秘诀。虽然入党誓词中明确规定”永不叛党“，并从思想上、组织上、制度上、干部任免上等各个方面严密控制九千万党员，但实际上，这个团体也并不是铁打一块，人性最终战胜党性。1989年天安门屠杀导致大量党员纷纷发表声明退出公开退出中国共产党；随后的法轮功事件也出现大量党员退党。2020年7月川普政府考虑禁止中共党员及其家庭成员入境美国，消息传出后，“退党”这一关键词在Google Trends在中国区热度激增。此外，中共党员的贪污腐败、买官卖官、以权谋私，以及生活的奢侈糜烂，也让中共党员实际行为与党章所规定大相径庭，并失去了他们的信誉。,news,CDS,CDS专页：永不叛党？,government,sensitive
网络评论员（即网评员或五毛党）是中国大陆特有的一种称呼，指受中国大陆的行政机关、高校、网站雇佣、指导，全职或兼职在各种网站、讨论版等处发表有利于中国政府或相关部门评论的人员。他们通常以普通网民身份，发表拥护中国政府（或相关部门）的内容，围攻批评政府的网络声音，或采取其他网络传播策略，来试图达到影响、引导和制造网络舆论的目的。,wiki,CDS,五毛,democracy,sensitive
加速主义（Accelerationism）原指一种政治与社会理论，认为资本主义制度或历史上某种技术相关的社会进程应该被加速以产生巨大社会变革。近两年”加速主义“一词流行于品葱论坛，作为一种反抗中共极权的理论、策略和语言，进而传播到其他中文社交媒体平台上，现已经被“反贼”、自由派和泛民主人士在谈论实事的时候广泛引用，它没有严格的定义，也经常被使用于不同的语境里，但大体基于类似的逻辑：“如果体制问题已无可救药，那么比起反对它或者修补它的漏洞，助推它的自身进程才是加速其灭亡的选择。”或者“事情在变好之前，要先变得足够坏。”越来越多面对日趋严重的体制问题而感到无可奈何的网友，常常使用“加速”这一概念调侃时事，带着某种幸灾乐祸或是破罐子破摔的心态。,blog,CDS,CDS专页：加速主义,government,sensitive
因此，加速主义也陷入一种道德困境并引起争议，在端传媒《加速主义：作为一种严肃的政治（抗争）立场》一文中提出：一方面，这种理论希望通过加剧民众苦难来迫使维稳体制失去平衡，因此被认为充当了暴政为恶的中介；但另一方面，如果加速主义者争辩说他们只是旁观并预测苦难的加剧会带来颠覆性的政治后果，又会被认为丧失了政治抗争者的能动性与主体性。,blog,CDS,CDS专页：加速主义,government,sensitive
习近平也由于其上台后一系列加强独裁专制的做法，被一些网民称为是促使中共灭亡的“总加速师”。（邓小平被中共媒体称为改革开放的“总设计师”。）,blog,CDS,CDS专页：加速主义,government,sensitive
一党制（英語：one-party system），又称单党制（single-party system）或一党专政（single-party state），是單一執政黨壟斷政治與軍事權力，並通過憲法、政府、軍警、特務等各種制度內外之手段，長期將其他勢力排除於政治權力外的国家。这类国家一般奉行法西斯主义、纳粹主义、军国主义或是共产主义国家、社会主义国家。历史上第一个一党制国家为1878年至1980年的西非国家、由真辉格党統治的利比里亚，统治时间为102年；現存歷史最悠久的一黨製國家為自1945年起由越南共產黨統治的越南社會主義共和國，統治時間至今為75年206天。 傳統上以「政黨的數目」爲標準來判定一個國家是一黨制、兩黨制或多黨制，但此判定標準据台灣学者葛永光指出不充分，例如一黨領導的共產黨還實施黨內民主，內部派系眾多，存在一黨多元的系統，兩黨國家卻小黨林立抵制國會，又如歐洲多黨聯合執政良久沒有競爭的情況也很常見,wiki,WIKI,一党专制,government,sensitive
“小粉红”起初是中华人民共和国人士，尤其是自由派社交网络用户描述中国大陆立场偏向民族主义网民的用词。后来又可用于泛指2010年中期，通過留學與翻牆手段，在境外社群网络上涌现出大量的倾向民族主义的中国大陆青年，部分媒體將「小粉紅」視作現代的「紅衛兵」，他們雖然與近年來同時湧現親中共人士立場相似，但其主要特徵為內容討論不理性，外語使用能力生疏，提出的主張缺乏數據與可靠的文章做支撐，常通過各種諷刺、揚言抵制的方式於網絡上攻擊、辱罵與其政見相反之人，並易過度解讀辱華一詞之定義來舉報受到歧視，使得當事國家或人事物不明究裡。對於中文圈而言，甚至不單純只攻擊持不同立場的網民，而是將沒有與之同立場的所有人，都誇張標籤為分離主義或叛國份子。,wiki,WIKI,CDS专页：小粉红,democracy,sensitive
帝吧是指百度贴吧的李毅吧，其用户被成为”帝吧网友“。百度贴吧是中国大陆的论坛网站，自称是“全球最大的中文社区”，其特点是各论坛（“贴吧”）以某一主题命名。李毅吧原为关于中国足球运动员李毅的网络论坛，由于李毅绰号“大帝”，因此此论坛参与者为论坛起了例如“帝吧”、“D吧”、“D8”等别名，并称为“百度卢浮宫”。由于其参与人数众多，经常参与或发起群体性网络事件，且破坏力惊人，故有“帝吧出征，寸草不生”的说法。帝吧网友多次参与民族主义色浓厚的网络出征行动，翻墙前往境外网站采用”洗版“方式攻击与中国官方立场对立的用户和机构。,wiki,WIKI,帝吧网友,democracy,sensitive
反對《逃犯條例修訂草案》運動（英語：Anti-Extradition Law Amendment Bill Movement），是指香港自2019年3月15日開始、6月9日大規模爆發的社會運動，運動持續至今，導致十余人死亡，逾萬人被捕。此次運動並無統一的領導，主要以社交媒體號召的方式組織，運動支持者以遊行示威、集會、靜坐、唱歌、吶喊、自殺、「三罷」行動、設置連儂牆、不合作運動、堵塞道路幹道、「起底」、破壞商鋪、建築物及公共設施等一系列行為，向香港特別行政區政府抗議其提出《逃犯條例》修訂草案。該草案容許將香港的犯罪嫌疑人引渡至中國大陸、澳門及台灣受審；反對者不信任中國大陸的司法制度，擔憂將嫌疑人引渡至大陸會出現不公平審訊的情況，損害香港在「一國兩制」及《基本法》下所列明的獨立司法管轄權地位。 早於2019年3月15日，香港眾志已於政府總部發起靜坐，要求撤回《逃犯條例》修訂。,news,CDS,香港反送中运动,democracy,sensitive
